date,open,close,high,low,volume
2024-01-02,14.05,13.99,14.19,13.92,25561.98
2024-01-03,13.99,13.71,13.99,13.64,20029.84
2024-01-04,13.95,13.68,13.95,13.53,19614.39
2024-01-05,13.89,13.46,13.89,13.33,18306.15
2024-01-08,13.3,12.94,13.43,12.9,27281.11
2024-01-09,13.12,12.92,13.29,12.83,27144.64
2024-01-10,12.92,12.67,12.92,12.51,20249.49
2024-01-11,12.9,12.92,12.99,12.61,21424.52
2024-01-12,12.99,12.68,13.05,12.65,18861.03
2024-01-15,12.7,12.66,12.82,12.58,15759.7
2024-01-16,12.75,12.65,12.78,12.42,17786.03
2024-01-17,12.72,12.27,12.77,12.18,19755.46
2024-01-18,12.23,12.15,12.61,11.83,25647.47
2024-01-19,12.29,11.86,12.29,11.8,17712.54
2024-01-22,11.9,11.11,12.09,10.97,26861.96
2024-01-23,10.88,10.81,11.28,10.66,35927.63
2024-01-24,11.0,10.85,11.03,10.44,27839.7
2024-01-25,10.9,11.55,11.62,10.72,33143.81
2024-01-26,11.53,11.39,11.75,11.3,20625.59
2024-01-29,11.55,10.75,11.55,10.72,26075.37
2024-01-30,10.9,10.3,10.9,10.25,23776.92
2024-01-31,10.0,9.36,10.3,9.27,50320.93
2024-02-01,9.2,9.08,9.32,8.84,45082.15
2024-02-02,8.85,8.26,9.3,7.94,49333.4
2024-02-05,7.94,6.82,8.08,6.66,78749.79
2024-02-06,6.58,6.65,6.8,5.67,92574.85
2024-02-07,6.71,6.09,6.71,5.89,94337.85
2024-02-08,6.15,7.16,7.17,5.86,90087.16
2024-02-19,7.41,8.21,8.22,7.41,76163.3
2024-02-20,8.01,8.49,8.52,7.79,63311.25
2024-02-21,8.2,9.02,9.4,8.1,80416.13
2024-02-22,8.8,9.2,9.42,8.8,81993.92
2024-02-23,9.17,9.43,9.45,8.91,67220.21
2024-02-26,9.42,9.63,9.9,9.2,62994.24
2024-02-27,9.54,9.94,9.95,9.41,50768.5
2024-02-28,9.9,8.58,10.14,8.5,77911.2
2024-02-29,8.49,9.02,9.04,8.39,51040.59
2024-03-01,9.15,9.24,9.3,8.95,42346.48
2024-03-04,9.31,9.39,9.42,8.86,44625.57
2024-03-05,9.27,9.06,9.33,9.01,39224.68
2024-03-06,9.01,9.06,9.2,8.85,24160.38
2024-03-07,9.13,8.9,9.26,8.9,29660.03
2024-03-08,8.9,9.23,9.25,8.82,31050.91
2024-03-11,9.2,9.33,9.36,9.03,23925.99
2024-03-12,9.37,9.5,9.56,9.26,29898.15
2024-03-13,9.5,9.6,9.71,9.4,28973.94
2024-03-14,9.56,9.37,9.61,9.14,32405.06
2024-03-15,9.36,9.6,9.6,9.18,25667.24
2024-03-18,9.62,10.09,10.15,9.54,44769.74
2024-03-19,10.09,10.24,10.39,10.08,38664.43
2024-03-20,10.22,10.39,10.42,10.13,30303.2
2024-03-21,10.4,10.4,10.54,10.15,27780.48
2024-03-22,10.31,10.2,10.48,10.03,29737.85
2024-03-25,10.2,9.74,10.38,9.65,35643.96
