date,open,close,high,low,volume
2024-01-02,27.96,28.39,28.87,27.81,22590.08
2024-01-03,28.31,28.06,28.31,27.81,10330.57
2024-01-04,28.06,27.98,28.31,27.85,8983.42
2024-01-05,27.98,27.64,28.16,27.44,9883.46
2024-01-08,27.6,26.42,27.61,25.99,17889.56
2024-01-09,26.58,26.38,26.72,25.91,10043.46
2024-01-10,26.1,26.42,27.22,25.57,15474.3
2024-01-11,26.61,26.92,27.13,26.28,9819.62
2024-01-12,26.87,27.43,27.85,26.61,14023.55
2024-01-15,27.48,27.18,27.74,26.97,10712.8
2024-01-16,27.06,28.44,28.51,27.0,22977.86
2024-01-17,28.25,29.48,30.09,28.09,28250.37
2024-01-18,29.43,29.47,29.95,28.49,22634.18
2024-01-19,29.39,27.53,29.48,27.44,40582.08
2024-01-22,27.26,26.19,27.98,26.02,21352.47
2024-01-23,26.02,26.3,26.67,25.53,21800.87
2024-01-24,26.38,26.04,26.38,25.01,20395.92
2024-01-25,26.42,26.9,26.99,25.78,25131.39
2024-01-26,26.82,26.1,27.0,26.04,16611.45
2024-01-29,26.0,24.96,26.41,24.75,17249.76
2024-01-30,24.16,24.1,24.94,24.03,11274.96
2024-01-31,24.38,23.57,24.39,23.34,18961.32
2024-02-01,23.23,25.52,26.35,23.23,27097.7
2024-02-02,25.31,24.03,25.54,23.79,25596.77
2024-02-05,24.09,23.83,24.71,22.24,29116.12
2024-02-06,23.21,25.93,26.57,22.98,23642.28
2024-02-07,25.58,27.98,28.9,25.58,38646.49
2024-02-08,27.99,28.72,33.31,27.74,64243.34
2024-02-19,28.41,28.79,29.9,28.35,45168.57
2024-02-20,28.67,28.49,28.93,28.06,28611.85
2024-02-21,28.08,28.33,29.08,28.04,26777.95
2024-02-22,28.32,29.07,29.26,28.04,23600.54
2024-02-23,29.24,28.73,29.24,28.17,22693.39
2024-02-26,28.81,29.43,29.76,28.38,38880.49
2024-02-27,29.3,30.34,30.41,29.01,27098.77
2024-02-28,30.34,28.47,30.44,28.4,36748.69
2024-02-29,28.85,32.36,32.46,28.85,74522.41
2024-03-01,31.9,31.79,32.16,31.06,50106.95
2024-03-04,31.89,33.38,35.63,31.61,81189.4
2024-03-05,33.01,32.47,33.21,31.96,51302.46
2024-03-06,32.47,33.49,34.08,32.01,42273.73
2024-03-07,33.49,32.18,33.78,32.13,31623.68
2024-03-08,32.27,33.73,33.82,32.21,32976.17
2024-03-11,33.47,35.11,35.45,33.2,48018.38
2024-03-12,35.37,34.46,35.37,34.07,32982.56
2024-03-13,34.6,34.27,34.73,33.92,33500.62
2024-03-14,34.36,34.08,34.5,33.59,39774.47
2024-03-15,34.08,35.44,35.44,33.95,38896.73
2024-03-18,35.82,36.34,36.57,34.8,29124.3
2024-03-19,36.34,35.64,36.34,35.44,34914.24
2024-03-20,35.41,35.27,36.0,35.05,18704.85
2024-03-21,35.06,34.04,35.36,33.92,32371.82
2024-03-22,34.04,33.82,34.41,33.34,35492.56
2024-03-25,33.82,33.45,34.5,33.44,23034.74
2024-03-26,33.61,33.45,34.2,33.24,21552.76
2024-03-27,33.44,33.19,33.81,32.52,27676.68
2024-03-28,33.08,33.54,34.02,32.88,23990.54
2024-03-29,33.52,33.44,33.62,32.46,21409.69
2024-04-01,33.63,33.62,34.12,33.15,26541.14
2024-04-02,33.68,32.88,33.88,32.58,25101.04
2024-04-03,33.05,32.62,33.14,32.13,22204.49
2024-04-08,32.72,32.47,33.15,32.11,21409.95
2024-04-09,32.62,33.47,33.5,32.19,26398.89
2024-04-10,33.62,32.92,33.64,32.69,19401.51
2024-04-11,33.02,34.12,35.07,32.42,36898.48
2024-04-12,34.12,35.01,35.6,33.88,28414.36
2024-04-15,35.28,35.1,35.84,34.44,30844.15
2024-04-16,35.08,34.7,35.88,34.02,35225.54
2024-04-17,35.39,34.98,35.67,33.91,34565.12
2024-04-18,35.0,35.19,35.74,34.52,24606.6
2024-04-19,35.16,34.15,35.23,33.8,19048.58
2024-04-22,34.31,35.54,36.09,33.42,31151.23
2024-04-23,35.2,34.5,36.34,33.97,22511.71
2024-04-24,34.54,35.22,35.5,34.23,21255.63
2024-04-25,35.03,34.64,35.35,34.34,15063.66
2024-04-26,34.49,34.53,34.86,32.91,34933.6
2024-04-29,35.06,33.83,35.27,33.63,30070.74
2024-04-30,33.83,33.62,34.18,33.34,17280.93
2024-05-06,34.31,33.75,34.36,33.31,23102.39
2024-05-07,33.91,33.05,33.97,32.87,23843.59
2024-05-08,32.87,32.72,32.94,32.35,18007.92
2024-05-09,32.79,33.91,34.05,32.58,25367.15
2024-05-10,33.83,33.6,33.91,33.28,14907.03
2024-05-13,33.28,34.66,35.19,33.28,30341.83
2024-05-14,34.61,35.43,35.68,34.45,32137.13
2024-05-15,35.13,34.0,35.42,33.72,23285.9
2024-05-16,34.34,33.31,34.36,33.31,13960.55
2024-05-17,33.31,34.31,34.49,32.37,26287.17
2024-05-20,34.28,36.85,36.98,34.16,34988.05
2024-05-21,36.98,36.8,37.36,36.09,28233.1
2024-05-22,36.58,36.5,37.07,36.02,23114.76
2024-05-23,36.27,34.98,36.68,34.83,24714.79
2024-05-24,34.91,34.91,35.91,34.69,21389.6
2024-05-27,34.74,37.89,37.9,34.38,37847.64
2024-05-28,37.34,37.39,38.42,37.02,21279.98
2024-05-29,37.74,37.52,38.27,36.75,18941.47
2024-05-30,37.19,38.05,38.1,37.19,15269.74
2024-05-31,37.74,35.56,38.36,35.43,33113.77
2024-06-03,35.52,37.17,38.07,35.48,32184.53
2024-06-04,37.54,37.97,38.13,36.61,22626.34
2024-06-05,37.77,36.65,38.1,36.49,19077.95
2024-06-06,37.19,36.4,37.19,36.09,15856.71
2024-06-07,36.52,35.63,36.65,34.92,20741.1
2024-06-11,35.81,36.16,36.37,34.91,14498.18
2024-06-12,36.34,36.13,36.5,35.87,9638.47
2024-06-13,36.0,36.79,37.19,35.92,16532.24
2024-06-14,36.85,37.18,37.56,36.39,21981.06
2024-06-17,37.24,38.82,39.18,36.79,25173.52
2024-06-18,38.88,38.97,39.46,38.42,17402.55
2024-06-19,38.66,37.4,39.23,37.3,16814.48
2024-06-20,37.19,37.09,37.83,36.86,13880.54
2024-06-21,36.82,37.43,37.76,36.31,12222.75
2024-06-24,37.08,36.71,37.67,36.71,13294.72
2024-06-25,36.63,36.01,37.19,35.48,16810.63
2024-06-26,36.0,36.66,36.91,35.47,17102.85
2024-06-27,36.49,36.21,36.97,35.61,12876.66
2024-06-28,36.18,37.33,38.13,36.0,18730.01
2024-07-01,37.28,35.82,37.28,33.5,50251.25
2024-07-02,35.8,34.3,35.95,34.15,21253.21
2024-07-03,33.86,34.33,34.77,33.86,12625.92
2024-07-04,34.66,34.18,35.16,33.96,10699.7
2024-07-05,34.18,35.23,35.55,33.71,19137.57
2024-07-08,33.94,33.89,35.13,33.58,12483.62
2024-07-09,34.08,35.07,35.38,33.37,13492.29
2024-07-10,35.14,35.42,35.62,34.41,13048.54
2024-07-11,35.62,34.91,35.88,34.44,11814.15
2024-07-12,34.84,35.29,35.6,34.4,11015.39
2024-07-15,35.01,35.27,35.67,34.7,7015.58
2024-07-16,35.08,34.99,35.76,34.64,8351.08
2024-07-17,34.94,33.86,35.09,33.67,13097.22
2024-07-18,33.86,34.55,35.03,33.26,12975.26
2024-07-19,34.49,34.87,35.2,33.87,10025.17
2024-07-22,34.97,35.1,35.49,34.4,8946.83
2024-07-23,35.04,33.91,35.06,33.91,6909.51
2024-07-24,33.76,33.49,34.5,33.27,7714.97
2024-07-25,33.16,33.23,33.63,32.62,6929.05
2024-07-26,33.23,33.76,33.81,33.03,5104.79
2024-07-29,34.01,34.66,34.98,33.75,9910.43
2024-07-30,34.66,34.8,35.15,33.94,8197.86
2024-07-31,35.2,38.67,39.0,34.82,23702.54
2024-08-01,38.65,38.36,38.96,36.96,19002.5
2024-08-02,37.73,38.31,38.8,37.59,14881.65
2024-08-05,37.73,37.16,39.05,37.05,14808.15
2024-08-06,37.58,36.36,37.9,35.91,14304.41
2024-08-07,36.42,37.26,37.67,36.17,11138.96
2024-08-08,37.09,36.91,37.45,36.29,5614.71
2024-08-09,36.93,37.19,38.26,36.82,9246.03
2024-08-12,37.2,37.85,38.51,36.8,9619.99
2024-08-13,37.71,37.87,38.22,37.38,7057.99
2024-08-14,37.87,37.04,38.08,36.64,15678.74
2024-08-15,37.04,37.34,38.33,36.41,12166.63
