date,open,close,high,low,volume
2024-01-02,9.77,9.92,10.03,9.74,59250.32
2024-01-03,9.89,9.78,9.96,9.72,38346.11
2024-01-04,9.83,9.82,9.83,9.73,20531.89
2024-01-05,9.84,9.68,9.86,9.65,33391.54
2024-01-08,9.65,9.37,9.66,9.37,30560.25
2024-01-09,9.41,9.32,9.48,9.21,33134.23
2024-01-10,9.27,9.16,9.36,9.09,27766.64
2024-01-11,9.15,9.62,9.62,9.13,40752.12
2024-01-12,9.49,9.4,9.59,9.27,45140.25
2024-01-15,9.37,9.2,9.4,9.19,28569.55
2024-01-16,9.18,9.22,9.25,9.08,25231.0
2024-01-17,9.21,9.08,9.21,9.08,16687.24
2024-01-18,8.98,9.0,9.12,8.72,38863.31
2024-01-19,8.98,8.86,9.02,8.86,14444.34
2024-01-22,8.82,8.28,8.9,8.21,40886.76
2024-01-23,8.28,8.19,8.28,8.07,22256.39
2024-01-24,8.22,8.27,8.28,7.9,34731.74
2024-01-25,8.27,8.46,8.5,8.19,42945.74
2024-01-26,8.4,8.4,8.62,8.4,27097.79
2024-01-29,8.49,8.11,8.52,8.08,24501.3
2024-01-30,8.17,7.93,8.17,7.85,24424.03
2024-01-31,7.89,7.43,7.89,7.42,34574.43
2024-02-01,7.38,7.39,7.55,7.21,35638.91
2024-02-02,7.36,6.99,7.5,6.79,34487.32
2024-02-05,6.94,6.37,6.94,6.11,49943.04
2024-02-06,6.36,6.69,6.91,6.05,54140.64
2024-02-07,6.86,6.48,6.99,6.38,49128.96
2024-02-08,6.53,7.2,7.23,6.46,60398.31
2024-02-19,7.36,7.41,7.58,7.26,50846.13
2024-02-20,7.39,7.43,7.48,7.25,22437.98
2024-02-21,7.29,7.49,7.67,7.29,39014.67
2024-02-22,7.42,7.62,7.65,7.42,28910.84
2024-02-23,7.65,7.77,7.79,7.58,39159.78
2024-02-26,7.79,7.9,8.09,7.74,53745.12
2024-02-27,7.87,8.11,8.12,7.8,41338.55
2024-02-28,8.13,7.52,8.27,7.48,78055.87
